,SHD,predicted edges,FDR
0,26,40,0.6
1,205,400,0.9425
2,205,400,0.9425
3,205,400,0.9425
4,205,400,0.9425
5,205,400,0.9425
6,205,400,0.9425
7,205,400,0.9425
8,205,400,0.9425
9,205,400,0.9425
10,205,400,0.9425
11,205,400,0.9425
12,205,400,0.9425
13,205,400,0.9425
14,205,400,0.9425
15,205,400,0.9425
16,205,400,0.9425
17,205,400,0.9425
18,205,400,0.9425
19,205,400,0.9425
20,205,400,0.9425
21,205,400,0.9425
22,205,400,0.9425
23,205,400,0.9425
24,205,400,0.9425
25,205,400,0.9425
26,205,400,0.9425
27,205,400,0.9425
28,205,400,0.9425
29,205,400,0.9425
30,205,400,0.9425
31,205,400,0.9425
32,205,400,0.9425
33,205,400,0.9425
34,205,400,0.9425
35,205,400,0.9425
36,205,400,0.9425
37,205,400,0.9425
38,205,400,0.9425
39,205,400,0.9425
40,205,400,0.9425
41,205,400,0.9425
42,205,400,0.9425
43,205,400,0.9425
44,205,400,0.9425
45,205,400,0.9425
46,205,400,0.9425
47,205,400,0.9425
48,205,400,0.9425
49,205,400,0.9425
