,SHD,predicted edges,FDR
0,85,85,0.8
1,83,82,0.7926829268292683
2,84,84,0.7976190476190477
3,85,82,0.8048780487804879
4,87,81,0.8271604938271605
5,87,79,0.8354430379746836
6,91,76,0.868421052631579
7,94,81,0.8641975308641975
8,91,78,0.8589743589743589
9,82,69,0.8405797101449275
10,86,73,0.8493150684931506
11,88,75,0.8533333333333334
12,89,77,0.8571428571428571
13,87,75,0.8533333333333334
14,82,69,0.8405797101449275
15,79,66,0.8333333333333334
16,79,68,0.8235294117647058
17,79,66,0.8333333333333334
18,78,65,0.8307692307692308
19,80,65,0.8461538461538461
20,80,68,0.8382352941176471
21,75,62,0.8225806451612904
22,80,68,0.8382352941176471
23,75,62,0.8225806451612904
24,76,64,0.828125
25,71,58,0.8103448275862069
26,71,58,0.8103448275862069
