,SHD,predicted edges,FDR
0,67,72,0.875
1,210,400,0.9675
2,210,400,0.9675
3,210,400,0.9675
4,210,400,0.9675
5,210,400,0.9675
6,210,400,0.9675
7,210,400,0.9675
8,210,400,0.9675
9,210,400,0.9675
10,210,400,0.9675
11,210,400,0.9675
12,210,400,0.9675
13,210,400,0.9675
14,210,400,0.9675
15,210,400,0.9675
16,210,400,0.9675
17,210,400,0.9675
18,210,400,0.9675
19,210,400,0.9675
20,210,400,0.9675
21,210,400,0.9675
22,210,400,0.9675
23,210,400,0.9675
24,210,400,0.9675
25,210,400,0.9675
26,210,400,0.9675
27,210,400,0.9675
28,210,400,0.9675
29,210,400,0.9675
30,210,400,0.9675
31,210,400,0.9675
32,210,400,0.9675
33,210,400,0.9675
34,210,400,0.9675
35,210,400,0.9675
36,210,400,0.9675
37,210,400,0.9675
38,210,400,0.9675
39,210,400,0.9675
40,210,400,0.9675
41,210,400,0.9675
42,210,400,0.9675
43,210,400,0.9675
44,210,400,0.9675
45,210,400,0.9675
46,210,400,0.9675
47,210,400,0.9675
48,210,400,0.9675
49,210,400,0.9675
