,SHD,predicted edges,FDR
0,99,86,0.9302325581395349
1,110,97,0.9381443298969072
2,100,89,0.9213483146067416
3,97,82,0.926829268292683
4,106,94,0.9361702127659575
5,103,88,0.9318181818181818
6,99,84,0.9285714285714286
7,94,79,0.9240506329113924
8,94,75,0.9466666666666667
9,104,85,0.9529411764705882
10,105,87,0.9540229885057471
11,107,89,0.9550561797752809
12,111,92,0.967391304347826
13,116,97,0.9690721649484536
14,120,102,0.9705882352941176
15,124,106,0.9716981132075472
16,124,106,0.9716981132075472
17,123,105,0.9714285714285714
18,119,100,0.97
19,112,92,0.967391304347826
20,116,96,0.96875
21,111,91,0.967032967032967
22,108,88,0.9659090909090909
23,108,88,0.9659090909090909
24,105,85,0.9647058823529412
