,SHD,predicted edges,FDR
0,80,80,0.9125
1,77,76,0.9078947368421053
2,70,65,0.8923076923076924
3,38,19,0.7894736842105263
4,22,22,0.4090909090909091
5,24,36,0.4722222222222222
6,30,40,0.55
7,30,42,0.5476190476190477
8,28,40,0.525
9,30,40,0.55
10,33,41,0.5853658536585366
11,33,41,0.5853658536585366
12,33,41,0.5853658536585366
13,33,41,0.5853658536585366
14,32,38,0.5789473684210527
15,31,37,0.5675675675675675
16,33,37,0.5945945945945946
17,33,37,0.5945945945945946
18,29,35,0.5428571428571428
19,32,37,0.5945945945945946
20,33,36,0.6111111111111112
21,33,34,0.6176470588235294
22,32,31,0.6129032258064516
23,33,32,0.625
24,32,31,0.6129032258064516
25,32,31,0.6129032258064516
