,SHD,predicted edges,FDR
0,418,652,0.9769938650306749
1,414,636,0.9764150943396226
2,411,618,0.9789644012944984
3,407,589,0.9813242784380306
4,402,559,0.9821109123434705
5,395,513,0.98635477582846
6,388,475,0.9873684210526316
7,374,436,0.9862385321100917
8,363,403,0.9851116625310173
9,339,354,0.9858757062146892
10,318,319,0.9843260188087775
11,358,387,0.979328165374677
12,322,327,0.9755351681957186
13,222,219,0.9726027397260274
14,106,103,0.9223300970873787
15,382,511,0.9765166340508806
16,373,462,0.9761904761904762
17,359,435,0.9770114942528736
18,347,402,0.9751243781094527
19,318,332,0.9728915662650602
20,233,226,0.9823008849557522
21,217,210,0.9809523809523809
22,378,435,0.9793103448275862
23,328,330,0.9757575757575757
24,307,306,0.9738562091503268
25,193,186,0.967741935483871
26,41,22,1.0
27,37,18,1.0
28,42,23,1.0
29,45,26,1.0
30,57,38,1.0
31,61,42,1.0
32,69,50,1.0
33,70,53,0.9811320754716981
34,78,61,0.9836065573770492
35,81,64,0.984375
36,79,62,0.9838709677419355
37,74,57,0.9824561403508771
38,83,66,0.9848484848484849
39,86,67,1.0
40,84,67,0.9850746268656716
41,79,62,0.9838709677419355
42,80,63,0.9841269841269841
43,86,69,0.9855072463768116
44,84,65,1.0
45,91,74,0.9864864864864865
46,79,60,1.0
47,97,81,0.9876543209876543
48,79,60,1.0
49,83,64,1.0
