,SHD,predicted edges,FDR
0,24,18,0.4444444444444444
1,34,42,0.5952380952380952
2,34,42,0.5952380952380952
3,35,49,0.5918367346938775
4,28,40,0.525
5,28,40,0.525
6,27,38,0.5263157894736842
7,26,35,0.5142857142857142
8,24,33,0.48484848484848486
9,22,33,0.45454545454545453
10,21,22,0.4090909090909091
11,22,23,0.43478260869565216
12,22,23,0.43478260869565216
13,21,22,0.4090909090909091
14,22,23,0.43478260869565216
15,21,22,0.4090909090909091
16,22,23,0.43478260869565216
17,21,22,0.4090909090909091
18,22,23,0.43478260869565216
19,21,22,0.4090909090909091
20,22,21,0.42857142857142855
21,21,22,0.4090909090909091
22,22,21,0.42857142857142855
